country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-20,-33,-5,11,-40,-5,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-21,-59,-29,-37,-45,-10,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-22,-26,-1,13,-35,-9,7
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-23,-29,-6,-4,-46,-26,10
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-24,-25,1,11,-43,-27,9
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-25,-19,5,36,-40,-26,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-26,-18,7,43,-39,-24,8
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-27,-41,-9,20,-41,-6,6
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-28,-31,101,30,-35,5,4
PL,Poland,Greater Poland Voivodeship,,,PL-WP,,ChIJRRG3jpPtBEcRUCx0TfnBsbc,2021-03-29,-32,-5,-4,-38,-14,9
